Symbol,Company,Industry
AGUAS-A,Aguas Andinas,Water & Sanitation
ANDINA-B,Embotelladora Andina [es],Beverages
BCI,Banco de Crédito e Inversiones,Banks
BSANTANDER,Banco Santander Chile,Banks
CAP,CAP,Mining
CCU,Compañía Cervecerías Unidas,Beverages
CENCOSHOPP,Cencosud Shopping,Retailers
CENCOSUD,Cencosud,Retailers
CHILE,Banco de Chile,Banks
CMPC,Empresas CMPC,Wood Pulp
COLBUN,Colbún,Electricity
CONCHATORO,Viña Concha y Toro,Wines
COPEC,Empresas Copec,Conglomerate
ECL,Engie Energía Chile,Electricity
ENELAM,Enel Américas,Electricity
ENELCHILE,Enel Chile [es],Electricity
ENTEL,Entel Chile,Telecoms
FALABELLA,S.A.C.I. Falabella,Retailers
IAM,Inversiones Aguas Metropolitanas,Water & Sanitation
ITAUCORP,Itaú Corpbanca,Banks
MALLPLAZA,Mallplaza,Shopping Mall Developer
PARAUCO,Parque Arauco,Shopping Mall Developer
RIPLEY,Ripley,Retailers
SECURITY,Grupo Security [es],Banks
SMU,SMU [es],Retailers
SONDA,Sonda,Software
SQM-B,Sociedad Química y Minera de Chile,Chemicals
VAPORES,Compañía Sudamericana de Vapores,Shipping
